+CSCOE+/logon.html,https://shvpn02.sankuai.com/+CSCOE+/logon.html,,35,200,11289,1676,398,text/html; charset=utf-8,249.131093ms,
api/swagger/index.html,https://mini.mail.service.lenovo.com.cn/api/swagger/index.html,,3071,200,434,14,17,text/html; charset=UTF-8,646.989211ms,
apidoc,http://min.lenovo.service.lenovo.com.cn/apidoc,,3093,200,434,14,17,text/html; charset=UTF-8,222.902519ms,
apidoc,http://mini.mail.service.lenovo.com.cn/apidoc,,3093,200,434,14,17,text/html; charset=UTF-8,214.712643ms,
apidoc,https://min.lenovo.service.lenovo.com.cn/apidoc,,3093,200,434,14,17,text/html; charset=UTF-8,216.892832ms,
apidoc,https://mini.mail.service.lenovo.com.cn/apidoc,,3093,200,434,14,17,text/html; charset=UTF-8,223.839195ms,
callback,https://minoris.partnerhub.lenovo.com/callback,,3657,200,22194,903,201,text/html; charset=utf-8,298.581367ms,
catalog,https://minoris.partnerhub.lenovo.com/catalog,,3673,200,22201,904,201,text/html; charset=utf-8,1.062859315s,
crossdomain.xml,https://mindray.box.lenovo.com/crossdomain.xml,,4241,200,161,6,5,text/xml,222.485325ms,
crossdomain.xml,https://mindrayfile.box.lenovo.com/crossdomain.xml,,4241,200,161,6,5,text/xml,237.080411ms,
crossdomain.xml,https://minio.ss.lenovo.com/crossdomain.xml,,4241,200,204,8,1,text/xml; charset=utf-8,332.465893ms,
crossdomain.xml,https://minsights.box.lenovo.com/crossdomain.xml,,4241,200,161,6,5,text/xml,215.006857ms,
crossdomain.xml,https://minsights.extres.box.lenovo.com/crossdomain.xml,,4241,200,161,6,5,text/xml,234.990871ms,
druid/index.html,http://min.lenovo.service.lenovo.com.cn/druid/index.html,,4601,200,434,14,17,text/html; charset=UTF-8,217.576693ms,
druid/index.html,http://mini.mail.service.lenovo.com.cn/druid/index.html,,4601,200,434,14,17,text/html; charset=UTF-8,214.89305ms,
druid/index.html,https://min.lenovo.service.lenovo.com.cn/druid/index.html,,4601,200,434,14,17,text/html; charset=UTF-8,213.849818ms,
druid/index.html,https://mini.mail.service.lenovo.com.cn/druid/index.html,,4601,200,434,14,17,text/html; charset=UTF-8,212.889026ms,
error,https://minoris.partnerhub.lenovo.com/error,,4747,200,7870,632,73,text/html; charset=utf-8,191.449508ms,
error.html,https://mindray.box.lenovo.com/error.html,,4754,200,4840,934,171,text/html,214.532796ms,
error.html,https://mindrayfile.box.lenovo.com/error.html,,4754,200,4840,934,171,text/html,237.048048ms,
error.html,https://minsights.box.lenovo.com/error.html,,4754,200,4840,934,171,text/html,215.358967ms,
error.html,https://minsights.extres.box.lenovo.com/error.html,,4754,200,4840,934,171,text/html,218.120733ms,
error/,https://minoris.partnerhub.lenovo.com/error/,,4763,200,7870,632,73,text/html; charset=utf-8,233.253123ms,
